,Topic,Words,Frequency,Timestamp
0,-1,"hach, verschlucke, wilflingen, einblicke, ferien",5,2014-07-26 21:16:44.400000+00:00
1,5,"badharzburg, unwetter, unwetterwarnung, regenwand, warnungen",1,2014-07-26 21:16:44.400000+00:00
2,8,"saenger, maximilian, kilo, projekt, unwetter",2,2014-07-26 21:16:44.400000+00:00
3,14,"zweite, waschen, hausbesitzer, groe, oelschaden",1,2014-07-26 21:16:44.400000+00:00
4,18,"romantisch, lasttweet, tweets, retweeten, com",1,2014-07-26 21:16:44.400000+00:00
5,24,"sanktionen, petrus, regen, angela, unbuerokratische",1,2014-07-26 21:16:44.400000+00:00
6,33,"meter, landkreis, regenmenge, unwettergefahr, quadratmeter",1,2014-07-26 21:16:44.400000+00:00
7,49,"heftige, regenfaelle, nacht, landkreis, aufgewachsen",1,2014-07-26 21:16:44.400000+00:00
8,61,"schwarzwaelder, thw, news, opern, thalkirchner",2,2014-07-26 21:16:44.400000+00:00
9,62,"regulieren, wasserhaushalt, entwaesserungsanlagen, skateboards, naherhohlingstouridoerfler",1,2014-07-26 21:16:44.400000+00:00
10,63,"feuerwehren, feuerwehrschule, bienchen, huegelhelden, dyksterhusen",1,2014-07-26 21:16:44.400000+00:00
11,99,"sommer, unwetter, kreiselpumpen, atlascopco, dieselbetriebenen",1,2014-07-26 21:16:44.400000+00:00
12,110,"sommergewittern, drei, regen, ueberschwemmten, break",2,2014-07-26 21:16:44.400000+00:00
13,127,"verheerend, unwetter, radar, rollstuhl, stadtgemeinde",2,2014-07-26 21:16:44.400000+00:00
14,133,"hotel, evakuiert, evakuierungen, brem, wohnhaus",1,2014-07-26 21:16:44.400000+00:00
15,136,"feuerwehr, unwetter, traditionself, geschaedigter, kalifat",1,2014-07-26 21:16:44.400000+00:00
16,241,"techtide, norderstedter, peace, ausstellungsmacher, weserstraße",1,2014-07-26 21:16:44.400000+00:00
17,243,"steigen, meter, regen, landkreis, wetterradar",1,2014-07-26 21:16:44.400000+00:00
18,314,"stream, gerberstadt, landy, jippih, empire",1,2014-07-26 21:16:44.400000+00:00
19,315,"ausweitung, bordell, paradies, sex, klagen",1,2014-07-26 21:16:44.400000+00:00
20,317,"verschwendung, wahl, ironie, kragen, dummer",1,2014-07-26 21:16:44.400000+00:00
21,410,"sperrmuelltermine, soma, rotebruecke, optimale, fedidwgugl",1,2014-07-26 21:16:44.400000+00:00
22,-1,"isarinsel, seefest, mittagsamstrand, gepostet, sicherheitsgruenden",13,2014-07-30 18:46:38.742857216+00:00
23,3,"erste, regen, meter, normalerweise, zurueckgeht",1,2014-07-30 18:46:38.742857216+00:00
24,4,"starkniederschlaege, alpen, leegebruch, kanalsiebe, sturmboeen",6,2014-07-30 18:46:38.742857216+00:00
25,6,"meldestufen, steigt, wasser, landkreis, indedurchbruch",1,2014-07-30 18:46:38.742857216+00:00
26,15,"autofahrer, weiterhin, verkehrsbehinderungen, verkehrschaos, verkehrseinschraenkungen",1,2014-07-30 18:46:38.742857216+00:00
27,17,"rech, drohendes, verantwortung, normalpegels, saxonswitzerland",2,2014-07-30 18:46:38.742857216+00:00
28,27,"gesperrt, stadtgemeinde, simon, traktor, abendstunden",2,2014-07-30 18:46:38.742857216+00:00
29,31,"chiemgau, stadtgemeinde, praezise, kaiserbruecke, elbufer",1,2014-07-30 18:46:38.742857216+00:00
30,32,"donenrstagnach, meldestufe, pegel, patent, aussehen",1,2014-07-30 18:46:38.742857216+00:00
31,38,"telmi, autofahrer, fahrzeuge, autos, fahrer",1,2014-07-30 18:46:38.742857216+00:00
32,39,"millionen, schutz, euro, stadtgemeinde, kreiseuskirchen",1,2014-07-30 18:46:38.742857216+00:00
33,46,"ortsspitze, meter, warnung, gfoehrlichi, grippewelle",1,2014-07-30 18:46:38.742857216+00:00
34,60,"meldestufe, niedrige, jahreszeit, trend, wetterwarnstufe",1,2014-07-30 18:46:38.742857216+00:00
35,64,"nacht, heute, stadtgemeinde, flensburger, kirchgemeinden",1,2014-07-30 18:46:38.742857216+00:00
36,72,"didi, goodbye, mutloser, prophezeit, selektion",2,2014-07-30 18:46:38.742857216+00:00
37,79,"alpen, reutern, glaeserzell, pfuetze, elementarschadendeckung",1,2014-07-30 18:46:38.742857216+00:00
38,89,"starkniederschlaege, alpen, verschwindet, startschuss, durcheinander",12,2014-07-30 18:46:38.742857216+00:00
39,99,"showtheenergy, atlascopco, dieselbetriebenen, kreiselpumpen, stresspegel",1,2014-07-30 18:46:38.742857216+00:00
40,109,"wasser, stadt, fuehrung, keinraumfuerquerdenker, welterbestadt",1,2014-07-30 18:46:38.742857216+00:00
41,141,"landk, foto, feuerwehr, megafon, pumpt",1,2014-07-30 18:46:38.742857216+00:00
42,145,"artikeln, weltkriegs, amoebenpolonaise, solidaritaet, refugeeswelcome",2,2014-07-30 18:46:38.742857216+00:00
43,162,"morgenstunden, fasziniert, erstem, kreispolizeibehoerden, drueckende",1,2014-07-30 18:46:38.742857216+00:00
44,182,"gullideckel, warngebiet, dauerwiederholung, vollsortimenter, unsicherheiten",1,2014-07-30 18:46:38.742857216+00:00
45,185,"ueberschwemmt, moselufer, gummistiefelpflicht, bamberg, whiteswan",1,2014-07-30 18:46:38.742857216+00:00
46,227,"helfern, unfassbar, klugheit, existenziell, hometown",1,2014-07-30 18:46:38.742857216+00:00
47,265,"jesusfueranfaenger, vorteile, landkreis, eingeborenen, bewachsen",1,2014-07-30 18:46:38.742857216+00:00
48,286,"tv, bilder, starkwetterereignisse, gebaeudeeinsturz, notverglasung",1,2014-07-30 18:46:38.742857216+00:00
49,298,"feierabendverkehr, morgenpost, landkreis, priorisierung, mittwoch",1,2014-07-30 18:46:38.742857216+00:00
50,312,"normal, meter, landkreis, nachtdienst, sbbconnect",1,2014-07-30 18:46:38.742857216+00:00
51,382,"stadt, ortvia, geoforum, dokumente, binnengewaessern",1,2014-07-30 18:46:38.742857216+00:00
52,430,"idyllisch, wasser, rhineside, drittgroeßte, fehlten",1,2014-07-30 18:46:38.742857216+00:00
53,-1,"augustbeginn, schleusenmanagement, berechnet, jahr, stadt",5,2014-07-31 15:33:17.485714176+00:00
54,2,"hochwasser, krankheitserregern, ortwarnung, bauingenieure, innovaru",1,2014-07-31 15:33:17.485714176+00:00
55,8,"hartz, deutschlandweit, sozialgerichte, berliner, bayerischer",1,2014-07-31 15:33:17.485714176+00:00
56,12,"fotostrecke, headline, nachrichtenagentur, tennessee, hashtag",2,2014-07-31 15:33:17.485714176+00:00
57,13,"bald, gehen, aquado, kitesurfing, orientierungspunkt",2,2014-07-31 15:33:17.485714176+00:00
58,35,"stadtgemeinde, entspannen, mountainbike, hochwasser, nothaft",1,2014-07-31 15:33:17.485714176+00:00
59,46,"sperren, normal, pegelmax, gfoehrlichi, deichspaziergang",2,2014-07-31 15:33:17.485714176+00:00
60,89,"hochwasser, ausuferung, starkniederschlaege, verschwindet, startschuss",1,2014-07-31 15:33:17.485714176+00:00
61,100,"spendengelder, eurobaustoff, ratgeber, versteigerung, bezirke",3,2014-07-31 15:33:17.485714176+00:00
62,129,"sinken, landkreis, blitzeinschlaege, strafzeiten, nordstrand",2,2014-07-31 15:33:17.485714176+00:00
63,142,"euro, fcb, millionensumme, spendet, aergert",1,2014-07-31 15:33:17.485714176+00:00
64,178,"wasser, landkreis, wellblech, talsperrre, orteinsatzkraefte",1,2014-07-31 15:33:17.485714176+00:00
65,338,"tendenz, leichte, jetstream, kleinteiliger, starkregegn",1,2014-07-31 15:33:17.485714176+00:00
66,359,"stadtgemeinde, weggefahren, willkommhoeft, urlaubsplanung, lokalzeit",1,2014-07-31 15:33:17.485714176+00:00
67,3,"rueckhaltebecken, regen, meter, zurueckgeht, stunde",1,2014-08-01 12:19:56.228571392+00:00
68,49,"helferfest, sah, jahr, goerlitzer, aufgewachsen",1,2014-08-01 12:19:56.228571392+00:00
69,64,"niehler, landesstiftung, flensburger, kirchgemeinden, orthochwasser",1,2014-08-01 12:19:56.228571392+00:00
70,207,"sportgeschaeft, lidl, zentrum, hitdorfer, containerriesen",1,2014-08-01 12:19:56.228571392+00:00
71,263,"sigma, badenonline, anziehen, temporaere, cuxhaven",1,2014-08-01 12:19:56.228571392+00:00
72,-1,"email, stadt, hochwasser, einsatzbericht, sammywilktour",3,2014-08-02 09:06:34.971428608+00:00
73,21,"email, newsblog, podcast, blogtraffic, whatsapp",3,2014-08-02 09:06:34.971428608+00:00
